lucode,lulc_name,nesting_Cavity_availability_index,nesting_Stem_availability_index,nesting_Wood_availability_index,nesting_Ground_availability_index,floral_resources_Spring_index,floral_resources_Summer_index,floral_resources_Fall_index,restore,protect
0,Background,0,0,0,0,0,0,0,0,0
1,Corn,0.09,0.11,0.1,0.15,0.09,0.27,0.13,1,0
2,Cotton,0.23,0.23,0.28,0.34,0.4,0.32,0.17,1,0
3,Rice,0.14,0.11,0.1,0.15,0.11,0.28,0.13,1,0
4,Sorghum,0.09,0.11,0.1,0.15,0.09,0.27,0.13,1,0
5,Soybeans,0.12,0.13,0.15,0.2,0.24,0.4,0.19,1,0
6,Sunflower,0.09,0.11,0.05,0.23,0.44,0.68,0.42,1,0
10,Peanuts,0.12,0.13,0.15,0.2,0.24,0.4,0.19,1,0
11,Tobacco,0.26,0.22,0.28,0.22,0.3,0.28,0.24,1,0
12,Sweet Corn,0.09,0.11,0.1,0.15,0.09,0.27,0.13,1,0
13,Pop or Orn Corn,0.09,0.11,0.1,0.15,0.09,0.27,0.13,1,0
14,Mint,0.1,0.08,0.05,0.26,0.3,0.56,0.33,1,0
21,Barley,0.14,0.11,0.1,0.15,0.11,0.28,0.13,1,0
22,Durum Wheat,0.14,0.11,0.1,0.15,0.11,0.28,0.13,1,0
23,Spring Wheat,0.14,0.11,0.1,0.15,0.11,0.28,0.13,1,0
24,Winter Wheat,0.14,0.11,0.1,0.15,0.11,0.28,0.13,1,0
25,Other Small Grains,0.14,0.11,0.1,0.15,0.11,0.28,0.13,1,0
26,Dbl Crop WinWht/Soybeans,0.27,0.27,0.3,0.3,0.28,0.27,0.26,1,0
27,Rye,0.14,0.11,0.1,0.15,0.11,0.28,0.13,1,0
28,Oats,0.14,0.11,0.1,0.15,0.11,0.28,0.13,1,0
29,Millet,0.14,0.11,0.1,0.15,0.11,0.28,0.13,1,0
30,Speltz,0.14,0.11,0.1,0.15,0.11,0.28,0.13,1,0
31,Canola,0.13,0.14,0.15,0.22,0.5,0.55,0.23,1,0
32,Flaxseed,0.13,0.14,0.15,0.22,0.5,0.55,0.23,1,0
33,Safflower,0.13,0.14,0.15,0.22,0.5,0.55,0.23,1,0
34,Rape Seed,0.13,0.14,0.15,0.22,0.5,0.55,0.23,1,0
35,Mustard,0.13,0.14,0.15,0.22,0.5,0.55,0.23,1,0
36,Alfalfa,0.13,0.13,0.15,0.22,0.24,0.52,0.23,1,0
37,Other Hay/Non Alfalfa,0.31,0.21,0.09,0.43,0.4,0.53,0.4,1,0
38,Camelina,0.13,0.14,0.15,0.22,0.5,0.55,0.23,1,0
39,Buckwheat,0.13,0.12,0.15,0.24,0.28,0.55,0.32,1,0
41,Sugarbeets,0.18,0.16,0.19,0.35,0.18,0.29,0.18,1,0
42,Dry Beans,0.12,0.13,0.15,0.2,0.24,0.4,0.19,1,0
43,Potatoes,0.18,0.14,0.15,0.21,0.3,0.43,0.25,1,0
44,Other Crops,0.24,0.29,0.29,0.28,0.29,0.35,0.27,1,0
45,Sugarcane,0.14,0.11,0.1,0.15,0.11,0.28,0.13,1,0
46,Sweet Potatoes,0.18,0.14,0.15,0.21,0.3,0.43,0.25,1,0
47,Misc Vegs & Fruits,0.18,0.2,0.2,0.26,0.26,0.39,0.2,1,0
48,Watermelons,0.1,0.08,0.05,0.25,0.28,0.57,0.17,1,0
49,Onions,0.18,0.16,0.19,0.35,0.18,0.29,0.18,1,0
50,Cucumbers,0.1,0.08,0.05,0.28,0.23,0.64,0.19,1,0
51,Chick Peas,0.15,0.1,0.1,0.27,0.22,0.34,0.18,1,0
52,Lentils,0.14,0.11,0.1,0.15,0.11,0.28,0.13,1,0
53,Peas,0.15,0.1,0.1,0.27,0.22,0.34,0.18,1,0
54,Tomatoes,0.18,0.14,0.15,0.21,0.3,0.43,0.25,1,0
55,Caneberries,0.16,0.41,0.13,0.35,0.62,0.46,0.23,1,0
56,Hops,0.14,0.11,0.1,0.15,0.11,0.28,0.13,1,0
57,Herbs,0.1,0.08,0.05,0.26,0.3,0.56,0.33,1,0
58,Clover/Wildflowers,0.18,0.33,0.05,0.3,0.69,0.84,0.68,0,1
59,Sod/Grass Seed,0.2,0.11,0.1,0.19,0.21,0.34,0.21,0,1
60,Switchgrass,0.2,0.11,0.1,0.19,0.21,0.34,0.21,0,1
61,Fallow/Idle Cropland,0.23,0.23,0.19,0.4,0.27,0.38,0.33,0,1
62,Pasture/Grass (DEPRECATED),0.31,0.21,0.09,0.43,0.4,0.53,0.4,0,1
63,Forest,0.68,0.68,0.84,0.66,0.58,0.46,0.4,0,1
64,Shrubland,0.67,0.7,0.46,0.76,0.7,0.58,0.45,0,1
65,Barren,0.08,0.05,0.05,0.27,0.25,0.28,0.22,0,1
66,Cherries,0.25,0.19,0.35,0.33,0.58,0.29,0.12,1,0
67,Peaches,0.25,0.19,0.35,0.33,0.58,0.29,0.12,1,0
68,Apples,0.25,0.19,0.35,0.33,0.58,0.29,0.12,1,0
69,Grapes,0.19,0.2,0.18,0.29,0.24,0.3,0.15,1,0
70,Christmas Trees,0.32,0.17,0.26,0.26,0.26,0.34,0.38,1,0
71,Other Tree Crops,0.37,0.29,0.34,0.3,0.39,0.36,0.33,1,0
72,Citrus,0.3,0.21,0.28,0.29,0.34,0.39,0.36,1,0
74,Pecans,0.24,0.18,0.3,0.27,0.31,0.27,0.13,1,0
75,Almonds,0.25,0.19,0.35,0.33,0.58,0.29,0.12,1,0
76,Walnuts,0.24,0.18,0.3,0.27,0.31,0.27,0.13,1,0
77,Pears,0.25,0.19,0.35,0.33,0.58,0.29,0.12,1,0
83,Water,0,0,0,0,0,0,0,0,0
87,Wetlands,0.25,0.37,0.31,0.14,0.52,0.53,0.45,0,1
92,Aquaculture,0,0,0,0,0,0,0,1,0
111,Open Water,0,0,0,0,0,0,0,0,0
112,Perennial Ice/Snow,0,0,0,0,0,0,0,0,0
121,Developed/Open Space,0.24,0.24,0.2,0.36,0.46,0.55,0.46,0,0
122,Developed/Low Intensity,0.21,0.2,0.2,0.34,0.53,0.59,0.48,0,0
123,Developed/Med Intensity,0.19,0.17,0.14,0.19,0.41,0.53,0.39,0,0
124,Developed/High Intensity,0.14,0.11,0.12,0.08,0.32,0.45,0.26,0,0
131,Barren,0.08,0.05,0.05,0.27,0.25,0.28,0.22,0,1
141,Deciduous Forest,0.72,0.51,0.85,0.51,0.7,0.53,0.4,0,1
142,Evergreen Forest,0.51,0.47,0.54,0.44,0.43,0.44,0.36,0,1
143,Mixed Forest,0.68,0.68,0.84,0.66,0.58,0.46,0.4,0,1
152,Shrubland,0.67,0.7,0.46,0.76,0.7,0.58,0.45,0,1
171,Grassland Herbaceous (DEPRECATED),0.31,0.21,0.09,0.43,0.4,0.53,0.4,0,1
176,Grass/Pasture,0.31,0.21,0.09,0.43,0.4,0.53,0.4,0,1
181,Pasture/Hay (DEPRECATED),0.31,0.21,0.09,0.43,0.4,0.53,0.4,1,1
190,Woody Wetlands,0.34,0.39,0.45,0.14,0.59,0.53,0.43,0,1
195,Herbaceous Wetlands,0.15,0.36,0.24,0.16,0.46,0.54,0.44,0,1
204,Pistachios,0.24,0.18,0.3,0.27,0.31,0.27,0.13,1,0
205,Triticale,0.14,0.11,0.1,0.15,0.11,0.28,0.13,1,0
206,Carrots,0.18,0.16,0.19,0.35,0.18,0.29,0.18,1,0
207,Asparagus,0.19,0.15,0.17,0.32,0.21,0.24,0.12,1,0
208,Garlic,0.18,0.16,0.19,0.35,0.18,0.29,0.18,1,0
209,Cantaloupes,0.1,0.08,0.05,0.28,0.23,0.64,0.19,1,0
210,Prunes,0.25,0.19,0.35,0.33,0.58,0.29,0.12,1,0
211,Olives,0.29,0.24,0.36,0.37,0.26,0.24,0.17,1,0
212,Oranges,0.3,0.21,0.28,0.29,0.34,0.39,0.36,1,0
213,Honeydew Melons,0.1,0.08,0.05,0.28,0.23,0.64,0.19,1,0
214,Broccoli,0.15,0.1,0.1,0.27,0.22,0.34,0.18,1,0
216,Peppers,0.18,0.14,0.15,0.21,0.3,0.43,0.25,1,0
217,Pomegranates,0.25,0.19,0.35,0.33,0.58,0.29,0.12,1,0
218,Nectarines,0.25,0.19,0.35,0.33,0.58,0.29,0.12,1,0
219,Greens,0.15,0.1,0.1,0.27,0.22,0.34,0.18,1,0
220,Plums,0.25,0.19,0.35,0.33,0.58,0.29,0.12,1,0
221,Strawberries,0.09,0.06,0.05,0.28,0.45,0.32,0.13,1,0
222,Squash,0.09,0.08,0.05,0.3,0.27,0.63,0.32,1,0
223,Apricots,0.25,0.19,0.35,0.33,0.58,0.29,0.12,1,0
224,Vetch,0.12,0.13,0.15,0.2,0.24,0.4,0.19,1,0
225,Dbl Crop WinWht/Corn,0.27,0.27,0.3,0.3,0.28,0.27,0.26,1,0
226,Dbl Crop Oats/Corn,0.27,0.27,0.3,0.3,0.28,0.27,0.26,1,0
227,Lettuce,0.15,0.1,0.1,0.27,0.22,0.34,0.18,1,0
229,Pumpkins,0.09,0.08,0.05,0.3,0.27,0.63,0.32,1,0
230,Dbl Crop Lettuce/Durum Wht,0.27,0.27,0.3,0.3,0.28,0.27,0.26,1,0
231,Dbl Crop Lettuce/Cantaloupe,0.1,0.08,0.05,0.28,0.23,0.64,0.19,1,0
232,Dbl Crop Lettuce/Cotton,0.27,0.27,0.3,0.3,0.28,0.27,0.26,1,0
233,Dbl Crop Lettuce/Barley,0.27,0.27,0.3,0.3,0.28,0.27,0.26,1,0
234,Dbl Crop Durum Wht/Sorghum,0.27,0.27,0.3,0.3,0.28,0.27,0.26,1,0
235,Dbl Crop Barley/Sorghum,0.27,0.27,0.3,0.3,0.28,0.27,0.26,1,0
236,Dbl Crop WinWht/Sorghum,0.27,0.27,0.3,0.3,0.28,0.27,0.26,1,0
237,Dbl Crop Barley/Corn,0.27,0.27,0.3,0.3,0.28,0.27,0.26,1,0
238,Dbl Crop WinWht/Cotton,0.27,0.27,0.3,0.3,0.28,0.27,0.26,1,0
239,Dbl Crop Soybeans/Cotton,0.27,0.27,0.3,0.3,0.28,0.27,0.26,1,0
240,Dbl Crop Soybeans/Oats,0.27,0.27,0.3,0.3,0.28,0.27,0.26,1,0
241,Dbl Crop Corn/Soybeans,0.27,0.27,0.3,0.3,0.28,0.27,0.26,1,0
242,Blueberries,0.16,0.41,0.13,0.35,0.62,0.46,0.23,1,0
243,Cabbage,0.15,0.1,0.1,0.27,0.22,0.34,0.18,1,0
244,Cauliflower,0.15,0.1,0.1,0.27,0.22,0.34,0.18,1,0
245,Celery,0.15,0.1,0.1,0.27,0.22,0.34,0.18,1,0
246,Radishes,0.18,0.16,0.19,0.35,0.18,0.29,0.18,1,0
247,Turnips,0.18,0.16,0.19,0.35,0.18,0.29,0.18,1,0
248,Eggplants,0.18,0.14,0.15,0.21,0.3,0.43,0.25,1,0
249,Gourds,0.09,0.08,0.05,0.3,0.27,0.63,0.32,1,0
250,Cranberries,0.16,0.41,0.13,0.35,0.62,0.46,0.23,1,0
254,Dbl Crop Barley/Soybeans,0.27,0.27,0.3,0.3,0.28,0.27,0.26,1,0
