Value,Ceratina_timberlakei,Megachile_apicalis,Osmia_atrocyanea,Bombus_sp,Agapostemon_texanus,Halictus_ligatus,Peponapis_pruinosa
1,11,11,10,9,15,15,15
2,23,28,28,23,34,34,34
3,11,14,10,14,15,15,15
4,11,11,10,9,15,15,15
5,13,15,15,12,20,20,20
6,11,11,5,9,23,23,23
10,13,15,15,12,20,20,20
11,22,28,28,26,22,22,22
12,11,11,10,9,15,15,15
13,11,11,10,9,15,15,15
14,8,10,5,10,26,26,26
21,11,14,10,14,15,15,15
22,11,14,10,14,15,15,15
23,11,14,10,14,15,15,15
24,11,14,10,14,15,15,15
25,11,14,10,14,15,15,15
26,27,30,30,27,30,30,30
27,11,14,10,14,15,15,15
28,11,14,10,14,15,15,15
29,11,14,10,14,15,15,15
30,11,14,10,14,15,15,15
31,14,15,15,13,22,22,22
32,14,15,15,13,22,22,22
33,14,15,15,13,22,22,22
34,14,15,15,13,22,22,22
35,14,15,15,13,22,22,22
36,13,15,15,13,22,22,22
37,21,31,9,31,43,43,43
38,14,15,15,13,22,22,22
39,12,15,15,13,24,24,24
41,16,19,19,18,35,35,35
42,13,15,15,12,20,20,20
43,14,18,15,18,21,21,21
44,29,29,29,24,28,28,28
45,11,14,10,14,15,15,15
46,14,18,15,18,21,21,21
47,20,20,20,18,26,26,26
48,8,10,5,10,25,25,25
49,16,19,19,18,35,35,35
50,8,10,5,10,28,28,28
51,10,15,10,15,27,27,27
52,11,14,10,14,15,15,15
53,10,15,10,15,27,27,27
54,14,18,15,18,21,21,21
55,41,41,13,16,35,35,35
56,11,14,10,14,15,15,15
57,8,10,5,10,26,26,26
58,33,33,5,18,30,30,30
59,11,20,10,20,19,19,19
60,11,20,10,20,19,19,19
61,23,23,19,23,40,40,40
62,21,31,9,31,43,43,43
63,68,84,84,68,66,66,66
64,70,70,46,67,76,76,76
65,5,8,5,8,27,27,27
66,19,35,35,25,33,33,33
67,19,35,35,25,33,33,33
68,19,35,35,25,33,33,33
69,20,20,18,19,29,29,29
70,17,32,26,32,26,26,26
71,29,37,34,37,30,30,30
72,21,30,28,30,29,29,29
74,18,30,30,24,27,27,27
75,19,35,35,25,33,33,33
76,18,30,30,24,27,27,27
77,19,35,35,25,33,33,33
83,0,0,0,0,0,0,0
87,37,37,31,25,14,14,14
92,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0
112,0,0,0,0,0,0,0
121,24,24,20,24,36,36,36
122,20,21,20,21,34,34,34
123,17,19,14,19,19,19,19
124,11,14,12,14,8,8,8
131,5,8,5,8,27,27,27
141,51,85,85,72,51,51,51
142,47,54,54,51,44,44,44
143,68,84,84,68,66,66,66
152,70,70,46,67,76,76,76
171,21,31,9,31,43,43,43
176,21,31,9,31,43,43,43
181,21,31,9,31,43,43,43
190,39,45,45,34,14,14,14
195,36,36,24,15,16,16,16
204,18,30,30,24,27,27,27
205,11,14,10,14,15,15,15
206,16,19,19,18,35,35,35
207,15,19,17,19,32,32,32
208,16,19,19,18,35,35,35
209,8,10,5,10,28,28,28
210,19,35,35,25,33,33,33
211,24,36,36,29,37,37,37
212,21,30,28,30,29,29,29
213,8,10,5,10,28,28,28
214,10,15,10,15,27,27,27
216,14,18,15,18,21,21,21
217,19,35,35,25,33,33,33
218,19,35,35,25,33,33,33
219,10,15,10,15,27,27,27
220,19,35,35,25,33,33,33
221,6,9,5,9,28,28,28
222,8,9,5,9,30,30,30
223,19,35,35,25,33,33,33
224,13,15,15,12,20,20,20
225,27,30,30,27,30,30,30
226,27,30,30,27,30,30,30
227,10,15,10,15,27,27,27
229,8,9,5,9,30,30,30
230,27,30,30,27,30,30,30
231,8,10,5,10,28,28,28
232,27,30,30,27,30,30,30
233,27,30,30,27,30,30,30
234,27,30,30,27,30,30,30
235,27,30,30,27,30,30,30
236,27,30,30,27,30,30,30
237,27,30,30,27,30,30,30
238,27,30,30,27,30,30,30
239,27,30,30,27,30,30,30
240,27,30,30,27,30,30,30
241,27,30,30,27,30,30,30
242,41,41,13,16,35,35,35
243,10,15,10,15,27,27,27
244,10,15,10,15,27,27,27
245,10,15,10,15,27,27,27
246,16,19,19,18,35,35,35
247,16,19,19,18,35,35,35
248,14,18,15,18,21,21,21
249,8,9,5,9,30,30,30
250,41,41,13,16,35,35,35
254,27,30,30,27,30,30,30
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,